lon,lat,SV_scaled_std,SV_unscaled_std,SV_scaled,Score,URBAN_RURA
68.74961506,38.57649476,5,5,-1.039658233,Low,Urban
68.72260955,38.57184754,5,5,-1.017133388,Low,Urban
68.75085736,38.56235066,5,5,-0.980193055,Low,Urban
68.74720153,38.55241786,5,5,-0.996526394,Low,Urban
68.74198626,38.55193489,4,4,-0.910667326,Middle,Urban
68.7454598,38.55089401,5,5,-0.98907432,Low,Urban
68.74480913,38.54127185,5,5,-0.978677984,Low,Urban
68.750175,38.54497947,5,5,-1.04240876,Low,Urban
68.74893079,38.54202227,5,5,-0.99701403,Low,Urban
68.74636528,38.51421116,5,5,-1.084422915,Low,Urban
68.74380315,38.5098275,5,5,-0.99698822,Low,Urban
68.74655048,38.5138003,4,4,-0.984488469,Middle,Urban
68.75637173,38.55149042,4,4,-0.959310004,Middle,Urban
68.75783795,38.56145674,5,5,-1.054094098,Low,Urban
68.76160336,38.55234562,4,4,-0.910498319,Middle,Urban
68.76153979,38.53022953,5,5,-1.041866791,Low,Urban
68.75898815,38.5315477,4,4,-0.959824941,Middle,Urban
68.75608636,38.53102833,4,4,-0.914221251,Middle,Urban
68.74384513,38.52328709,4,4,-0.996982603,Middle,Urban
68.7504628,38.50857272,4,4,-0.902919408,Middle,Urban
68.75266003,38.51863085,4,4,-0.914929365,Middle,Urban
68.75632605,38.51933329,4,3,-0.888192788,Middle,Urban
68.76930357,38.49029737,3,3,-0.756460503,Middle,Urban
68.76335466,38.51543755,4,4,-0.948416154,Middle,Urban
68.75733537,38.51759022,5,5,-1.02502588,Low,Urban
68.76244774,38.50060979,4,5,-0.943855101,Middle,Urban
68.76429926,38.52928717,5,5,-1.07968216,Low,Urban
68.77007411,38.52898687,5,5,-1.050864856,Low,Urban
68.75787775,38.5390436,5,5,-1.04440466,Low,Urban
68.77409963,38.54300989,5,5,-1.037422357,Low,Urban
68.77866973,38.53602851,4,4,-0.871172025,Middle,Urban
68.77456919,38.54924978,3,4,-0.791168705,Middle,Urban
70.35676605,40.66098037,6,6,-0.944036419,Very Low,Urban
68.84393714,40.17764517,4,4,-0.846814677,Middle,Urban
69.33471355,40.51537694,4,5,-0.713384306,Middle,Urban
69.36481194,40.15951224,4,4,-0.898351166,Middle,Urban
67.61117912,39.49036193,5,5,-0.951204991,Low,Urban
67.62050931,39.49850954,5,5,-0.913252845,Low,Urban
68.99373526,39.91302267,3,4,-0.756581373,Middle,Urban
68.9848347,39.93982537,4,4,-0.808443493,Middle,Urban
68.99695971,39.86160558,4,4,-0.877645852,Middle,Urban
69.69810541,40.24137795,4,4,-0.857352387,Middle,Urban
69.59516409,40.2855211,4,4,-0.963307775,Middle,Urban
69.5897865,40.28939529,4,5,-0.97602852,Middle,Urban
69.62208541,40.31566796,5,5,-1.021849238,Low,Urban
69.63054522,40.30084063,4,4,-0.956969769,Middle,Urban
69.65277642,40.30933284,4,5,-0.942440632,Middle,Urban
69.61518958,40.29699489,5,5,-1.045442305,Low,Urban
69.5991312,40.27225806,4,4,-0.832483902,Middle,Urban
69.61321186,40.28174942,5,5,-1.042373845,Low,Urban
69.6412557,40.283488,5,5,-1.064277124,Low,Urban
70.62940572,40.11591633,3,3,-0.746056383,Middle,Urban
70.61489925,40.11614119,4,4,-0.865050439,Middle,Urban
70.5449957,40.04820452,4,4,-0.86494011,Middle,Urban
69.80620541,40.27423785,6,6,-1.116274301,Very Low,Urban
69.70277506,40.48234923,4,4,-0.730929977,Middle,Urban
70.40964357,40.28345291,3,3,-0.800369917,Middle,Urban
70.43421384,40.29843776,4,4,-0.908900768,Middle,Urban
69.64475225,40.56488924,4,4,-0.876912801,Middle,Urban
69.691146,40.23756058,5,5,-0.961992908,Low,Urban
